id,value1,category
1,111,CatB
2,152,CatB
3,168,CatA
4,192,CatA
5,166,CatB
6,153,CatB
7,131,CatA
8,135,CatA
9,127,CatA
10,183,CatA
11,167,CatB
12,120,CatB
13,183,CatA
14,160,CatB
15,135,CatA
16,177,CatA
17,115,CatB
18,140,CatB
19,162,CatA
20,195,CatB
21,149,CatA
22,137,CatB
23,151,CatA
24,101,CatB
25,176,CatA
26,139,CatB
27,113,CatB
28,159,CatB
29,192,CatB
30,142,CatA
31,107,CatB
32,104,CatB
33,137,CatA
34,179,CatA
35,128,CatB
36,169,CatA
37,102,CatB
38,179,CatA
46,123,CatB
47,171,CatB
48,185,CatB
49,139,CatB
51,174,CatA
52,124,CatB
53,151,CatA
54,124,CatA
