Mietpreis;Quadratmeter;Lage
1100;87;Umland
588;42;Umland
850;54;Umland
500;33;Umland
1900;104;Umland
1400;87;Umland
2500;156;Umland
1300;57;Innenstadt
1200;38;Innenstadt
2750;96;Innenstadt
2450;103;Innenstadt
800;46;Auﬂenbezirk
3116;164;Auﬂenbezirk
1458;81;Auﬂenbezirk
1235;65;Auﬂenbezirk
3300;150;Innenstadt
2300;100;Innenstadt
1820;91;Auﬂenbezirk
400;21;Auﬂenbezirk
2032;127;Auﬂenbezirk
850;50;Auﬂenbezirk
2820;141;Auﬂenbezirk
1785;105;Auﬂenbezirk
600;28;Auﬂenbezirk
3300;180;Umland
690;46;Umland
4000;178;Innenstadt
1990;67;Innenstadt
640;32;Auﬂenbezirk
2482;146;Auﬂenbezirk
2601;153;Auﬂenbezirk
1100;48;Innenstadt
1500;53;Innenstadt
3400;136;Innenstadt
3000;126;Innenstadt
3050;114;Innenstadt
1760;92;Auﬂenbezirk
2869;151;Auﬂenbezirk
1100;57;Auﬂenbezirk
1121;59;Auﬂenbezirk
2000;139;Umland
1805;95;Umland
3000;98;Innenstadt
3900;158;Innenstadt
3420;171;Auﬂenbezirk
3040;152;Auﬂenbezirk
1050;50;Auﬂenbezirk
2200;74;Innenstadt
2850;134;Innenstadt
1000;38;Innenstadt
3520;180;Innenstadt
1400;46;Innenstadt
3460;154;Innenstadt
2831;149;Auﬂenbezirk
820;41;Auﬂenbezirk
1275;75;Auﬂenbezirk
1206;67;Auﬂenbezirk
493;29;Umland
700;43;Umland
2700;120;Innenstadt
1900;73;Innenstadt
756;42;Auﬂenbezirk
1980;132;Auﬂenbezirk
3200;176;Auﬂenbezirk
1260;70;Auﬂenbezirk
2296;164;Umland
1501;79;Umland
850;59;Umland
1856;116;Umland
2100;87;Innenstadt
1400;39;Innenstadt
3900;163;Innenstadt
2200;137;Auﬂenbezirk
2200;141;Auﬂenbezirk
1273;67;Auﬂenbezirk
2286;127;Auﬂenbezirk
1710;114;Auﬂenbezirk
1965;131;Auﬂenbezirk
2816;176;Auﬂenbezirk
1860;93;Auﬂenbezirk
560;35;Auﬂenbezirk
1470;98;Umland
1666;98;Umland
3000;153;Innenstadt
2900;104;Innenstadt
1200;52;Innenstadt
600;25;Auﬂenbezirk
2200;111;Auﬂenbezirk
1300;69;Auﬂenbezirk
1615;85;Auﬂenbezirk
1500;76;Auﬂenbezirk
855;45;Umland
2100;105;Innenstadt
380;20;Auﬂenbezirk
646;38;Auﬂenbezirk
1800;101;Auﬂenbezirk
2958;174;Auﬂenbezirk
950;50;Auﬂenbezirk
2656;166;Auﬂenbezirk
2400;160;Auﬂenbezirk
