Datum;Gewicht;Fettmasse;Knochenmasse;Muskelmasse;Wasseranteil
03.05.2024 05:27;94,23;17,96;3,66;72,6;49,56
02.05.2024 05:26;94,43;19,38;3,61;71,43;49,09
01.05.2024 05:32;93,93;16,77;3,69;73,46;50,94
30.04.2024 05:28;93,53;18,62;3,6;71,3;49,12
29.04.2024 05:26;94,11;18,91;3,61;71,57;49,36
28.04.2024 05:48;94,22;18,46;3,64;72,1;49,69
27.04.2024 05:37;93,8;18,69;3,61;71,49;49,26
26.04.2024 06:20;93,14;19,88;3,53;69,71;48,14
26.04.2024 06:18;93,24;19,16;3,57;70,49;48,7
25.04.2024 05:50;93,4;17,79;3,63;71,96;49,76
24.04.2024 05:46;93,76;18,92;3,6;71,23;49,46
23.04.2024 06:21;93,33;19,57;3,56;70,19;48,92
22.04.2024 05:36;93,04;19,2;3,56;70,26;48,95
21.04.2024 05:33;93,19;18,81;3,58;70,78;48,81
21.04.2024 05:32;93,35;18,22;3,61;71,5;49,47
20.04.2024 06:27;93,95;19,72;3,57;70,64;48,76
20.04.2024 06:25;94,04;19,66;3,58;70,78;49,1
19.04.2024 05:44;93,14;18,3;3,6;71,22;49,55
18.04.2024 06:14;92,93;19,25;3,55;70,12;48,81
17.04.2024 06:27;93,4;18,94;3,58;70,86;48,32
17.04.2024 06:25;93,45;19,05;3,58;70,81;48,45
16.04.2024 06:06;93,27;18,03;3,61;71,61;48,95
15.04.2024 05:27;93,77;18,23;3,63;71,9;49,73
14.04.2024 05:34;93,32;17,69;3,63;71,98;49,35
13.04.2024 05:35;92,69;17,87;3,6;71,21;49,25
12.04.2024 05:30;93,63;17,96;3,63;72,02;49,58
11.04.2024 06:17;93,71;18,59;3,61;71,5;49,2
10.04.2024 05:35;93,21;18,22;3,6;71,37;48,56
10.04.2024 05:33;93,29;18,31;3,6;71,36;48,64
09.04.2024 05:29;93,14;18,24;3,6;71,29;48,62
08.04.2024 05:40;93,51;18,11;3,62;71,77;48,79
08.04.2024 05:38;93,57;18,39;3,61;71,56;48,82
07.04.2024 05:54;92,98;18,12;3,6;71,25;48,78
07.04.2024 05:53;93,05;17,46;3,63;71,95;49,49
06.04.2024 05:44;92,41;18,18;3,57;70,64;48,17
06.04.2024 05:42;92,58;17,85;3,59;71,12;48,72
06.04.2024 05:40;92,69;16,65;3,65;72,38;49,75
05.04.2024 05:36;92,3;17,9;3,58;70,8;48,76
05.04.2024 05:34;92,5;17,16;3,62;71,71;49,55
04.04.2024 05:25;92,45;17,19;3,62;71,63;49,64
03.04.2024 05:40;92,58;18,3;3,58;70,69;48,72
03.04.2024 05:38;92,66;18,07;3,59;70,98;49,06
02.04.2024 05:31;93,77;19,47;3,58;70,72;48,53
02.04.2024 05:29;93,88;19,3;3,59;70,98;48,95
02.04.2024 05:27;93,96;19,67;3,58;70,7;48,86
01.04.2024 05:29;91,87;18,69;3,53;69,64;48,04
01.04.2024 05:27;91,98;19,21;3,51;69,24;47,7
01.04.2024 05:25;92,17;19,17;3,52;69,46;48,25
31.03.2024 05:40;92,39;18,49;3,56;70,34;48,26
31.03.2024 05:38;92,48;18;3,58;70,88;48,75
31.03.2024 05:36;92,69;17,73;3,6;71,34;49,14
30.03.2024 05:20;92,37;17,12;3,61;71,61;49,1
29.03.2024 05:13;92,35;17,35;3,6;71,39;49,04
28.03.2024 05:27;92,38;17,17;3,61;71,59;48,77
28.03.2024 05:25;92,56;14,97;3,72;73,86;50,45
27.03.2024 05:05;93,39;17,01;3,66;72,7;49,57
26.03.2024 05:06;92,25;17,44;3,59;71,2;48,59
26.03.2024 05:04;92,45;17,28;3,61;71,54;48,97
25.03.2024 05:26;91,38;18,02;3,54;69,81;48,48
24.03.2024 05:46;90,92;16,44;3,59;70,88;49,55
23.03.2024 05:45;91,63;15,2;3,66;72,75;50,04
22.03.2024 05:27;91,65;16,21;3,62;71,8;49,12
21.03.2024 05:27;91,3;17,77;3,54;69,97;48,45
20.03.2024 05:26;91,44;17,24;3,57;70,62;48,67
19.03.2024 05:28;92,11;17,8;3,57;70,73;48,08
19.03.2024 05:26;92,25;16,93;3,62;71,69;48,96
18.03.2024 05:27;92,07;17,41;3,59;71,06;48,86
17.03.2024 06:10;91,2;17,16;3,56;70,46;48,68
16.03.2024 06:07;91,27;16,55;3,59;71,11;49,03
15.03.2024 05:29;91,23;15,39;3,64;72,18;50,03
15.03.2024 05:28;91,38;17,09;3,57;70,69;48,77
14.03.2024 05:27;91,23;17,31;3,56;70,34;48,51
14.03.2024 05:25;91,44;16,62;3,6;71,2;49,34
13.03.2024 05:28;90,84;16,64;3,57;70,62;48,86
13.03.2024 05:26;90,91;17,46;3,54;69,89;48,18
13.03.2024 05:25;91,1;15,93;3,61;71,53;49,51
12.03.2024 05:28;91,42;16,76;3,59;71,05;48,53
12.03.2024 05:27;91,5;16,82;3,59;71,07;48,59
12.03.2024 05:25;91,57;15,21;3,66;72,68;50,01
11.03.2024 05:28;90,28;17,4;3,52;69,35;47,99
11.03.2024 05:26;90,36;17,61;3,51;69,22;47,91
11.03.2024 05:24;90,49;16,78;3,55;70,15;48,93
10.03.2024 06:24;92,3;16,97;3,62;71,69;49,19
10.03.2024 06:23;92,34;17,71;3,59;71,03;48,87
09.03.2024 06:20;90,87;16,94;3,56;70,35;48,11
09.03.2024 06:18;90,94;17,22;3,55;70,15;48,14
09.03.2024 06:17;91,04;16,48;3,58;70,96;48,61
08.03.2024 05:28;91,2;17,64;3,54;70,01;47,88
08.03.2024 05:27;91,28;17,54;3,55;70,18;48,06
07.03.2024 05:29;90,76;17,47;3,53;69,74;47,66
07.03.2024 05:27;90,83;17,08;3,55;70,18;48,17
07.03.2024 05:25;90,99;17,45;3,54;69,98;48,11
06.03.2024 05:30;91,7;16,07;3,63;71,98;48,88
06.03.2024 05:29;91,94;16,36;3,63;71,94;48,98
05.03.2024 05:29;91,59;17,83;3,55;70,2;47,85
05.03.2024 05:27;91,67;17,73;3,56;70,37;48,17
05.03.2024 05:25;91,81;15,94;3,64;72,21;49,7
04.03.2024 05:30;91,35;17,84;3,54;69,95;47,96
04.03.2024 05:29;91,44;17,59;3,56;70,28;48,22
04.03.2024 05:27;91,55;18,39;3,53;69,62;47,98
03.03.2024 05:54;91,08;17,67;3,54;69,86;47,86
03.03.2024 05:52;91,25;17,51;3,55;70,17;48,25
02.03.2024 06:45;90,54;16,63;3,56;70,33;47,77
02.03.2024 06:43;90,71;17,18;3,54;69,98;47,74
01.03.2024 05:29;90,76;17,9;3,51;69,33;47,6
01.03.2024 05:27;90,81;18,48;3,49;68,83;47,4
29.02.2024 05:28;91,18;17,99;3,53;69,64;47,7
28.02.2024 05:30;91,46;18,53;3,52;69,39;47,43
28.02.2024 05:28;91,59;18,48;3,52;69,57;47,57
27.02.2024 05:28;91;18,38;3,5;69,1;47,27
27.02.2024 05:26;91,12;18,67;3,5;68,94;47,37
26.02.2024 05:29;91,56;19,14;3,5;68,91;47,47
