Gewicht;Koerperdichte;Alter;Groesse_cm;Halsumfang;Brustumfang;Bauchumfang;Hueftumfang;Oberschenkelumfang;Vorderarmumfang;Bizeps
70;1,0708;23;172;36,2;93,1;85,2;94,5;59;27,4;32
78,6;1,0853;22;184;38,5;93,6;83;98,7;58,7;28,9;30,5
69,9;1,0414;22;168;34;95,8;87,9;99,2;59,6;25,2;28,8
83,8;1,0751;26;184;37,4;101,8;86,4;101,2;60,1;29,4;32,4
83,6;1,034;24;181;34,4;97,3;100;101,9;63,2;27,7;32,2
95,4;1,0502;24;190;39;104,5;94,4;107,8;66;30,6;35,7
82,1;1,0549;26;177;36,4;105,1;90,7;100,3;58,4;27,8;31,9
79,8;1,0704;25;184;37,8;99,6;88,5;97,1;60;29;30,5
86,6;1,09;25;188;38,1;100,9;82,5;99,9;62,9;31,1;35,9
89,9;1,0722;23;187;42,1;99,6;88,6;104,1;63,1;30;35,6
84,5;1,083;26;189;38,5;101,5;83,6;98,2;59,7;29,4;32,8
98;1,0812;27;193;39,4;103,6;90,9;107,7;66,2;30,2;37,2
81,9;1,0513;32;177;38,4;102;91,6;103,9;63,4;28,6;32,5
93,1;1,0505;30;181;39,4;104,1;101,8;108,6;66;31,6;36,9
85,2;1,0484;35;177;40,5;101,3;96,4;100,1;69;30,5;36,1
73,8;1,0512;35;168;36,4;99,1;92,8;99,2;63,1;26,4;31,1
88,8;1,0333;34;180;38,9;101,9;96,4;105,2;64,8;30,8;36,2
94,9;1,0468;32;180;42,1;107,6;97,5;107;66,9;31,6;38,2
83,3;1,0622;28;172;38;106,8;89,6;102,4;64,2;30,5;37,2
96;1,061;33;187;40;106,2;100,5;109;65,8;30,1;37,1
81,2;1,0551;28;173;39,1;103,3;95,9;104,9;63,5;30,3;32,5
90,9;1,064;28;177;41,3;111,4;98,8;104,8;63,4;32,8;33
63,6;1,0631;31;173;33,9;86;76,4;94,6;57,4;25,9;27,9
67,5;1,0584;32;178;35,5;86,7;80;93,4;54,9;26,7;29,8
68,6;1,0668;28;172;34,5;90,2;76,3;95,8;58,4;28;31,1
72,2;1,0911;27;182;35,7;89,6;79,7;96,5;55;28,2;29,9
59,6;1,0811;34;171;36,2;88,6;74,6;85,3;51,7;27;28,7
67,1;1,0468;31;171;38,8;97,4;88,7;94,7;57,5;26,6;29,2
60,4;1,091;27;164;36,4;93,5;73,9;88,5;50,1;27,9;30,5
72,9;1,079;29;175;36,7;97,4;83,5;98,7;58,9;26,7;30,1
82,6;1,0716;32;187;38,7;100,5;88,7;99,8;57,5;27,7;32,5
72,7;1,0862;29;181;37,3;93,5;84,5;100,6;58,5;26,4;30,1
76,2;1,0719;27;181;38,1;93;79,1;94,5;57,3;30;29
99,1;1,0502;41;180;39,8;111,7;100,5;108,3;67,1;31,5;37,5
112,2;1,0263;41;187;42,1;117;115,6;116,1;71,2;31,7;37,3
87;1,0101;49;165;38,4;118,5;113,1;113,8;61,9;29,8;32
91,7;1,0438;40;178;38,5;106,5;100,9;106,2;63,5;30,6;35,1
89,2;1,0346;50;173;42,1;105,6;98,8;104,8;66;30,5;33,2
164,7;1,0202;46;184;51,2;136,2;148,1;147,7;87,3;29;45
92,1;1,0258;50;170;40,2;114,8;108,1;102,5;61,3;31;34,1
119,2;1,0217;45;175;43,2;128,3;126,2;125,6;72,5;32,7;36,4
93;1,025;44;75;36,6;106;104,3;115,5;70,6;28,7;33,6
98,4;1,0279;48;178;37,3;113,3;111,2;114,1;67,7;29,8;36,7
96,2;1,0269;41;182;41,5;106,6;104,3;106;65;31,5;35,8
56,8;1,0814;39;173;31,5;85,1;76;88,2;50;23,1;26,1
74,5;1,067;43;186;35,7;96,6;81,5;97,2;58,4;27,4;29,7
60,6;1,0742;40;171;33,6;88,2;73,7;88,5;53,3;26,2;27,9
67,4;1,0665;39;181;34,6;89,8;79,5;92,7;52,7;26,8;28,8
61,6;1,0678;45;174;32,8;92,3;83,4;90,4;52;25,5;28,8
57,8;1,0903;47;170;34;83,4;70,4;87,2;50,6;25,8;26,8
71,8;1,0756;47;184;34,9;90,2;86,7;98,3;52,6;25,8;26
63,2;1,084;40;175;34,3;89,2;77,9;91;51,4;26,1;26,7
62,3;1,0807;51;172;36,5;89,7;82;89,1;49,3;26;29,6
69,3;1,0848;49;187;35,1;93,3;79,6;91,6;52,6;27,4;38,5
61,8;1,0906;42;171;37,8;87,6;77,6;88,6;51,9;27,5;27,7
89,8;1,0473;54;183;39,9;107,6;100;99,6;57,2;30,2;35,9
82,3;1,0524;58;173;39,1;100;99,8;102,5;62,1;28,3;33,1
91,3;1,0356;62;177;40,5;111,5;104,2;105,8;61,8;30,9;37,7
91,9;1,028;54;180;40,5;115,4;105,3;97;59,1;28,8;31,6
81,5;1,043;61;167;38,4;104,8;98,3;99,6;60,6;29,6;34,5
98;1,0396;62;186;41,4;112,3;104,8;103,1;61,6;31,8;36,2
81,1;1,0317;56;174;35,6;102,9;94,7;100,8;60,9;29,8;32,5
87,7;1,0298;54;178;38;107,6;102,4;99,4;61;29,9;32,7
80,7;1,0403;61;170;37,4;105,3;99,7;99,7;60,8;29;33,6
93,2;1,0264;57;178;40,1;105,3;105,5;108,3;65;31,1;35,3
83,2;1,0313;55;171;40,9;103;100,3;104,2;64,8;30,1;34,8
68,7;1,0499;54;180;35,6;90;83,9;93,9;55;27,4;29,6
70,2;1,0673;55;182;36,9;95,4;86,6;91,8;54,3;27,4;32,8
70,4;1,0847;54;176;37,5;89,3;78,4;96,1;56;28,1;32,6
71,1;1,0693;55;182;36,3;94,4;84,6;94,3;51,2;27,1;27,3
76;1,0439;62;182;35,5;97,6;91,5;98,5;56,6;27,3;31,5
66,6;1,0788;55;175;38,7;88,5;82,8;95,5;58,9;27,3;30,3
72,9;1,0796;56;187;36,4;93,6;82,9;96,3;52,9;27,3;29,7
56,7;1,068;55;163;33,2;87,7;76;88,6;50,9;25,7;29,3
64,9;1,072;61;167;36,5;93,4;83,3;93;55,5;27;29,4
67,2;1,0666;61;171;36;91,6;81,8;94,8;54,5;27;29,3
73,7;1,079;57;177;38,7;91,6;78,8;94,3;56,7;29,2;30,2
80,6;1,0483;69;174;38,7;102;95;98,3;55;25,7;30,8
73,1;1,0498;81;178;37,8;96,4;95,4;99,3;53,5;26,8;31,4
77,7;1,056;66;176;37,4;102,7;98,6;100,2;56,5;28,7;30,3
74,3;1,0283;67;172;38,4;97,7;95,8;97,1;54,8;27,2;29,4
68,2;1,0382;64;171;38,1;97,1;89;96,9;54,8;25,2;29,9
86,3;1,0568;64;185;39,3;103,1;97,8;99,6;58,9;29,6;34,3
77,5;1,0377;70;178;38,7;101,8;94,9;95;56;27,3;31,2
76,2;1,0378;72;176;38,5;101,4;99,8;96,2;56,3;26,3;29,7
75,7;1,0386;67;171;36,5;98,9;89,7;96,2;54,7;27,7;32,4
71,6;1,0648;72;171;37,7;97,5;88,1;96,9;57,2;28;32,6
72,6;1,0462;64;167;36,5;104,3;90,9;93,8;57,8;28,4;29,2
80,2;1,08;46;184;38;97,3;86;99,3;61;29,3;30,2
79,8;1,0666;48;185;36,7;96,7;86,5;98,3;60,4;29,6;28,8
80,3;1,052;46;178;37,2;99,7;95,6;102,2;58,3;27,7;29,1
81,5;1,0573;44;177;39,2;101,9;93,2;100,6;58,9;28,4;31,4
75;1,0795;47;179;37,5;97,2;83,1;95,4;56,9;28,2;30,1
87,3;1,0424;46;182;38;106,6;97,5;100,6;58,9;29,6;33,3
83,6;1,0785;47;189;37,3;99,6;88,8;101,4;57,4;27,9;30,3
101,8;1,0991;53;197;41,1;113,2;99,2;107,5;61,7;30,8;32,9
85,6;1,077;38;186;37,5;99,1;91,6;102,4;60,6;30,1;31,6
73,7;1,073;50;169;38,7;99,4;86,7;96,2;62,1;27,8;30,6
71;1,0582;46;173;35,9;95,1;88,2;92,8;54,7;27,5;31,6
89,4;1,0484;47;183;40;107,5;94;103,7;62,7;30,9;35,3
90;1,0506;49;187;40,1;106,5;95;101,7;59;31;32,2
78,8;1,0524;48;183;37;99,1;92;98,3;59,3;26,2;27,9
78,4;1,053;41;181;36,3;96,7;89,2;98,3;60;29,2;31
