Date,Temp
2016-06-03,20.7
2016-06-04,17.9
2016-06-05,18.8
2016-06-06,14.6
2016-06-07,15.8
2016-06-08,15.8
2016-06-09,15.8
2016-06-10,17.4
2016-06-11,21.8
2016-06-12,20.0
2016-06-13,16.2
2016-06-14,13.3
2016-06-15,16.7
2016-06-16,21.5
2016-06-17,25.0
2016-06-18,20.7
2016-06-19,20.6
2016-06-20,24.8
2016-06-21,17.7
2016-06-22,15.5
2016-06-23,18.2
2016-06-24,12.1
2016-06-25,14.4
2016-06-26,16.0
2016-06-27,16.5
2016-06-28,18.7
2016-06-29,19.4
2016-06-30,17.2
2016-07-01,15.5
2016-07-02,15.1
2016-07-03,15.4
2016-07-04,15.3
2016-07-05,18.8
2016-07-06,21.9
2016-07-07,19.9
2016-07-08,16.6
2016-07-09,16.8
2016-07-10,14.6
2016-07-11,17.1
2016-07-12,25.0
2016-07-13,15.0
2016-07-14,13.7
2016-07-15,13.9
2016-07-16,18.3
2016-07-17,22.0
2016-07-18,22.1
2016-07-19,21.2
2016-07-20,18.4
2016-07-21,16.6
2016-07-22,16.1
2016-07-23,15.7
2016-07-24,16.6
2016-07-25,16.5
2016-07-26,14.4
2016-07-27,14.4
2016-07-28,18.5
2016-07-29,16.9
2016-07-30,17.5
2016-07-31,21.2
2016-08-01,17.8
2016-08-02,18.6
2016-08-03,17.0
2016-08-04,16.0
2016-08-05,13.3
2016-08-06,14.3
2016-08-07,11.4
2016-08-08,16.3
2016-08-09,16.1
2016-08-10,11.8
2016-08-11,12.2
2016-08-12,14.7
2016-08-13,11.8
2016-08-14,11.3
2016-08-15,10.6
2016-08-16,11.7
2016-08-17,14.2
2016-08-18,11.2
2016-08-19,16.9
2016-08-20,16.7
2016-08-21,8.1
2016-08-22,8.0
2016-08-23,8.8
2016-08-24,13.4
2016-08-25,10.9
2016-08-26,13.4
2016-08-27,11.0
2016-08-28,15.0
2016-08-29,15.7
2016-08-30,14.5
2016-08-31,15.8
2016-09-01,16.7
2016-09-02,16.8
2016-09-03,17.5
2016-09-04,17.1
2016-09-05,18.1
2016-09-06,16.6
2016-09-07,10.0
2016-09-08,14.9
2016-09-09,15.9
2016-09-10,13.0
2016-09-11,7.6
2016-09-12,11.5
2016-09-13,13.5
2016-09-14,13.0
2016-09-15,13.3
2016-09-16,12.1
2016-09-17,12.4
2016-09-18,13.2
2016-09-19,13.8
2016-09-20,10.6
2016-09-21,9.0
2016-09-22,10.0
2016-09-23,9.8
2016-09-24,11.5
2016-09-25,8.9
2016-09-26,7.4
2016-09-27,9.9
2016-09-28,9.3
2016-09-29,9.9
2016-09-30,7.4
2016-10-01,8.6
2016-10-02,11.9
2016-10-03,14.0
2016-10-04,8.6
2016-10-05,10.0
2016-10-06,13.5
2016-10-07,12.0
2016-10-08,10.5
2016-10-09,10.7
2016-10-10,8.1
2016-10-11,10.1
2016-10-12,10.6
2016-10-13,5.3
2016-10-14,6.6
2016-10-15,8.5
2016-10-16,11.2
2016-10-17,9.8
2016-10-18,5.9
2016-10-19,3.2
2016-10-20,2.1
2016-10-21,3.4
2016-10-22,5.4
2016-10-23,9.6
2016-10-24,11.5
2016-10-25,12.3
2016-10-26,12.6
2016-10-27,11.0
2016-10-28,11.2
2016-10-29,11.4
2016-10-30,11.8
2016-10-31,12.8
2016-11-01,11.6
2016-11-02,10.6
2016-11-03,9.8
2016-11-04,11.2
2016-11-05,5.7
2016-11-06,7.1
2016-11-07,2.5
2016-11-08,3.5
2016-11-09,4.6
2016-11-10,11.0
2016-11-11,5.7
2016-11-12,7.7
2016-11-13,10.4
2016-11-14,11.4
2016-11-15,9.2
2016-11-16,6.1
2016-11-17,2.7
2016-11-18,4.3
2016-11-19,6.3
2016-11-20,3.8
2016-11-21,4.4
2016-11-22,7.1
2016-11-23,4.8
2016-11-24,5.8
2016-11-25,6.2
2016-11-26,7.3
2016-11-27,9.2
2016-11-28,10.2
2016-11-29,9.5
2016-11-30,9.5
2016-12-01,10.7
2016-12-02,10.0
2016-12-03,6.5
2016-12-04,7.0
2016-12-05,7.4
2016-12-06,8.1
2016-12-07,6.6
2016-12-08,8.3
2016-12-09,8.9
2016-12-10,4.6
2016-12-11,6.8
2016-12-12,5.7
2016-12-13,6.1
2016-12-14,7.0
2016-12-15,7.2
2016-12-16,6.3
2016-12-17,8.8
2016-12-18,5.0
2016-12-19,7.4
2016-12-20,10.1
2016-12-21,12.0
2016-12-22,9.0
2016-12-23,8.9
2016-12-24,9.8
2016-12-25,9.0
2016-12-26,9.2
2016-12-27,7.7
2016-12-28,8.0
2016-12-29,6.1
2016-12-30,3.5
2016-12-31,3.2
2017-01-01,5.7
2017-01-02,7.7
2017-01-03,9.0
2017-01-04,10.0
2017-01-05,6.2
2017-01-06,6.9
2017-01-07,6.5
2017-01-08,6.8
2017-01-09,7.0
2017-01-10,5.2
2017-01-11,3.0
2017-01-12,5.6
2017-01-13,7.9
2017-01-14,9.0
2017-01-15,8.6
2017-01-16,10.3
2017-01-17,10.5
2017-01-18,7.6
2017-01-19,9.7
2017-01-20,12.5
2017-01-21,7.4
2017-01-22,7.9
2017-01-23,3.9
2017-01-24,6.6
2017-01-25,4.6
2017-01-26,7.0
2017-01-27,6.0
2017-01-28,5.5
2017-01-29,8.1
2017-01-30,5.5
2017-01-31,6.2
2017-02-01,8.0
2017-02-02,10.3
2017-02-03,9.8
2017-02-04,9.6
2017-02-05,8.5
2017-02-06,7.5
2017-02-07,11.2
2017-02-08,14.6
2017-02-09,11.7
2017-02-10,7.8
2017-02-11,12.3
2017-02-12,10.1
2017-02-13,11.5
2017-02-14,7.3
2017-02-15,10.9
2017-02-16,14.1
2017-02-17,10.7
2017-02-18,16.9
2017-02-19,10.5
2017-02-20,6.5
2017-02-21,11.0
2017-02-22,6.3
2017-02-23,10.5
2017-02-24,7.2
2017-02-25,7.6
2017-02-26,10.7
2017-02-27,7.8
2017-02-28,9.6
2017-03-01,11.4
2017-03-02,12.4
2017-03-03,8.9
2017-03-04,13.2
2017-03-05,8.6
2017-03-06,6.2
2017-03-07,11.4
2017-03-08,13.2
2017-03-09,14.3
2017-03-10,7.3
2017-03-11,12.9
2017-03-12,7.8
2017-03-13,6.2
2017-03-14,5.6
2017-03-15,10.0
2017-03-16,13.3
2017-03-17,8.3
2017-03-18,10.2
2017-03-19,8.6
2017-03-20,7.3
2017-03-21,10.4
2017-03-22,11.2
2017-03-23,13.2
2017-03-24,11.4
2017-03-25,9.1
2017-03-26,6.6
2017-03-27,8.4
2017-03-28,9.7
2017-03-29,13.2
2017-03-30,12.5
2017-03-31,11.0
2017-04-01,11.0
2017-04-02,11.7
2017-04-03,9.2
2017-04-04,11.5
2017-04-05,13.6
2017-04-06,13.7
2017-04-07,10.4
2017-04-08,11.5
2017-04-09,7.6
2017-04-10,9.6
2017-04-11,14.2
2017-04-12,15.7
2017-04-13,10.5
2017-04-14,10.5
2017-04-15,9.7
2017-04-16,9.5
2017-04-17,11.3
2017-04-18,8.9
2017-04-19,9.4
2017-04-20,11.9
2017-04-21,11.7
2017-04-22,13.4
2017-04-23,12.6
2017-04-24,10.1
2017-04-25,15.8
2017-04-26,13.6
2017-04-27,11.9
2017-04-28,9.9
2017-04-29,12.6
2017-04-30,17.8
2017-05-01,15.0
2017-05-02,13.6
2017-05-03,13.4
2017-05-04,10.5
2017-05-05,14.2
2017-05-06,11.5
2017-05-07,13.0
2017-05-08,15.0
2017-05-09,14.7
2017-05-10,12.6
2017-05-11,12.5
2017-05-12,13.5
2017-05-13,14.8
2017-05-14,17.2
2017-05-15,9.7
2017-05-16,12.1
2017-05-17,12.8
2017-05-18,11.2
2017-05-19,16.4
2017-05-20,15.6
2017-05-21,13.3
2017-05-22,11.0
2017-05-23,11.1
2017-05-24,15.0
2017-05-25,12.8
2017-05-26,15.0
2017-05-27,14.2
2017-05-28,14.0
2017-05-29,15.5
2017-05-30,13.3
2017-05-31,15.6
2017-06-01,15.2
2017-06-02,17.4
2017-06-03,17.0
2017-06-04,15.0
2017-06-05,13.5
2017-06-06,15.2
2017-06-07,13.0
2017-06-08,12.5
2017-06-09,14.1
2017-06-10,14.8
2017-06-11,16.2
2017-06-12,15.8
2017-06-13,19.1
2017-06-14,22.2
2017-06-15,15.9
2017-06-16,13.0
2017-06-17,14.1
2017-06-18,15.8
2017-06-19,24.0
2017-06-20,18.0
2017-06-21,19.7
2017-06-22,25.2
2017-06-23,20.5
2017-06-24,19.3
2017-06-25,15.8
2017-06-26,17.0
2017-06-27,18.4
2017-06-28,13.3
2017-06-29,14.6
2017-06-30,12.5
2017-07-01,17.0
2017-07-02,17.1
2017-07-03,14.0
2017-07-04,14.6
2017-07-05,13.3
2017-07-06,14.8
2017-07-07,15.1
2017-07-08,13.1
2017-07-09,13.6
2017-07-10,19.5
2017-07-11,22.7
2017-07-12,17.2
2017-07-13,13.5
2017-07-14,15.4
2017-07-15,17.0
2017-07-16,19.2
2017-07-17,22.8
2017-07-18,26.3
2017-07-19,18.2
2017-07-20,17.0
2017-07-21,14.8
2017-07-22,12.8
2017-07-23,15.5
2017-07-24,15.6
2017-07-25,13.1
2017-07-26,15.2
2017-07-27,14.1
2017-07-28,12.5
2017-07-29,14.6
2017-07-30,10.4
2017-07-31,13.9
2017-08-01,11.9
2017-08-02,13.5
2017-08-03,9.8
2017-08-04,14.0
2017-08-05,21.5
2017-08-06,19.5
2017-08-07,16.7
2017-08-08,19.1
2017-08-09,11.0
2017-08-10,9.0
2017-08-11,10.0
2017-08-12,14.6
2017-08-13,12.5
2017-08-14,17.2
2017-08-15,19.2
2017-08-16,22.2
2017-08-17,15.7
2017-08-18,14.2
2017-08-19,9.8
2017-08-20,14.0
2017-08-21,17.5
2017-08-22,20.7
2017-08-23,15.6
2017-08-24,13.2
2017-08-25,14.5
2017-08-26,16.8
2017-08-27,17.2
2017-08-28,13.4
2017-08-29,14.2
2017-08-30,14.3
2017-08-31,10.2
2017-09-01,10.4
2017-09-02,12.3
2017-09-03,11.9
2017-09-04,11.2
2017-09-05,8.5
2017-09-06,12.0
2017-09-07,12.4
2017-09-08,12.9
2017-09-09,10.1
2017-09-10,15.0
2017-09-11,13.6
2017-09-12,12.4
2017-09-13,13.6
2017-09-14,16.1
2017-09-15,19.5
2017-09-16,14.2
2017-09-17,9.3
2017-09-18,10.1
2017-09-19,7.4
2017-09-20,8.6
2017-09-21,7.8
2017-09-22,9.1
2017-09-23,13.0
2017-09-24,16.5
2017-09-25,12.9
2017-09-26,6.9
2017-09-27,6.9
2017-09-28,8.7
2017-09-29,10.0
2017-09-30,10.8
2017-10-01,7.5
2017-10-02,6.3
2017-10-03,11.9
2017-10-04,13.8
2017-10-05,11.8
2017-10-06,11.0
2017-10-07,10.1
2017-10-08,8.5
2017-10-09,5.5
2017-10-10,7.6
2017-10-11,8.7
2017-10-12,10.8
2017-10-13,11.2
2017-10-14,9.1
2017-10-15,3.7
2017-10-16,4.6
2017-10-17,6.6
2017-10-18,13.2
2017-10-19,15.2
2017-10-20,7.6
2017-10-21,8.4
2017-10-22,6.0
2017-10-23,8.3
2017-10-24,8.6
2017-10-25,11.1
2017-10-26,12.1
2017-10-27,12.9
2017-10-28,14.0
2017-10-29,12.5
2017-10-30,11.5
2017-10-31,7.0
2017-11-01,7.1
2017-11-02,9.0
2017-11-03,3.1
2017-11-04,2.5
2017-11-05,0.0
2017-11-06,1.6
2017-11-07,2.6
2017-11-08,5.7
2017-11-09,2.3
2017-11-10,4.5
2017-11-11,8.2
2017-11-12,6.9
2017-11-13,7.3
2017-11-14,6.0
2017-11-15,7.3
2017-11-16,7.6
2017-11-17,8.0
2017-11-18,8.0
2017-11-19,6.8
2017-11-20,7.3
2017-11-21,6.2
2017-11-22,6.9
2017-11-23,8.9
2017-11-24,4.0
2017-11-25,1.3
2017-11-26,0.8
2017-11-27,4.3
2017-11-28,7.3
2017-11-29,7.7
2017-11-30,9.0
2017-12-01,4.2
2017-12-02,1.6
2017-12-03,2.6
2017-12-04,3.4
2017-12-05,3.9
2017-12-06,7.0
2017-12-07,7.8
2017-12-08,5.3
2017-12-09,2.4
2017-12-10,2.8
2017-12-11,4.0
2017-12-12,7.5
2017-12-13,7.8
2017-12-14,5.6
2017-12-15,3.3
2017-12-16,5.0
2017-12-17,3.7
2017-12-18,3.9
2017-12-19,5.2
2017-12-20,0.2
2017-12-21,0.8
2017-12-22,0.9
2017-12-23,3.5
2017-12-24,6.6
2017-12-25,9.5
2017-12-26,9.0
2017-12-27,3.5
2017-12-28,4.5
2017-12-29,5.7
2017-12-30,5.6
2017-12-31,7.1
2018-01-01,9.7
2018-01-02,8.3
2018-01-03,9.1
2018-01-04,2.8
2018-01-05,2.2
2018-01-06,4.5
2018-01-07,3.8
2018-01-08,3.8
